,article_type,body,classification_score,date_published,date_scraped,id,is_ground_truth,source_id,title,url
40994,NOT_STRIKE,"The NATO-led Resolute Support (RS) mission in Afghanistan rejected claims by the loyalists of the Islamic State of Iraq and Syria (ISIS) terrorist group regarding the alleged killing of a US military commander in Kabul. “There is no truth to any claims that a U.S. military commander was killed in today’s #Kabul explosion, several ANA members were wounded only,” the alliance said. An explosion took place in the vicinity of Makroryan area of the city earlier today which is located close to the US Embassy in Kabul with the security officials saying only three civilians were wounded. However, ISIS loyalists released a statement on the Amaq news agency saying that they had killed the US commander and two Afghan army colonels using a ‘sticky bomb’. The loyalists of the terror group claimed it happened outside the US embassy in the Afghan capital in Masoud Square. The latest claim by the loyalists of the terror group come as the Afghan and US forces have stepped up raids gainst them in eastern Nangarhar province where they have been widely conducting insurgency activities. The leader of the terror group Hafeez Saeed Khan was killed in a US drone strike in Nangarhar province late in the month of July.   Post Views:  183",False,2016-08-15 21:31:00+00:00,2019-03-25 06:56:24.935393+00:00,40995,True,4,NATO rejects ISIS claim regarding killing of US commander in Kabul,https://www.khaama.com/nato-rejects-isis-claim-regarding-killing-of-us-commander-in-kabul-01700/
40921,NOT_STRIKE,"The Afghan and US forces suffered casualties during an operation against the militants affiliated with the Islamic State of Iraq and Syria (ISIS) terrorist group’s offshoot in Afghanistan, ISIS Khurasan. “One U.S. service member has died as a result of wounds suffered Wednesday during a partnered operation with U.S. and Afghan Forces in Eastern Afghanistan,” the US Forces for Afghanistan (USFOR-A) said in a statement. The statement further added that the U.S. and Afghan forces were also injured during the operation aimed at further reducing Islamic State of Iraq and Syria-Khorasan presence in Afghanistan. “The wounded personnel have been medically evacuated for treatment,” the statement said, adding that “Next of kin notification are underway.” No further details were give regarding the exact location where the operations were conducted but the Afghan and US forces have long been involved in anti-ISIS operations in eastern Nangarhar and Kunar provinces. The increased raids, usually involving drone strikes, by the US forces followed a broader role granted by the Obama administration earlier last year. The broader role was granted amid concerns that the loyalists of the terror group are attempting to expand foothold in the country and turn the eastern Nangarhar province into a regional operational hub for its fighters.   Post Views:  180",False,2017-08-17 10:23:00+00:00,2019-03-25 06:36:33.706456+00:00,40922,True,4,US and Afghan soldiers suffer casualties in anti-ISIS operations,https://www.khaama.com/us-and-afghan-soldiers-suffer-casualties-in-anti-isis-operations-03376/
5684,NOT_STRIKE,"ISLAMABAD: A total of 409 drone attacks have been conducted in Pakistan since January 2004, in which 2,714 people have been killed and 728 injured.  The majority of the strikes were carried out during the government of Pakistan Peoples Party between 2008 and 2012. Sources within the National Counter Terrorism Authority (Nacta) recently shared details, claiming that the period saw 336 aerial attacks, in which 2,282 people lost their lives and 658 received injuries. The officials added that 2010 alone saw 117 attacks that cost 775 people their lives and injured another 193. Between 2013 and 2018 — during the government of the Pakistan Muslim League-Nawaz — a total of 65 drone attacks occurred. A total of 301 people died and 70 were injured. In 2018, two drone attacks have been conducted so far. One person was killed and one was injured.  It is, however, worth remembering that the top leadership of the Taliban in Pakistan has been killed in drone attacks.  The attacks over the years have targeted the areas of Bajaur, Bannu, Hangu, Khyber, Kurram, Mohmand, North Waziristan, Nushki, Orakzai, and South Waziristan. The officials of Nacta added that 289 attacks were conducted in North Waziristan alone, in which 1,651 individuals were killed and 421 were injured. South Waziristan saw 91 attacks that killed 707 individuals and injured 215. There were 13 strikes in the Kurram Agency that killed 110 and injured 32, five in the Khyber Agency that killed 57 and injured 29, four in the Bajaur Agency that killed 129, two in Hangu that killed seven and injured two, one in the Mohmand Agency that killed 18 and injured 18 and one in Nushki that killed two.   Nacta sources say 336 aerial attacks took place during PPP’s government while 65 occurred when PML-N was in power   Terror attacks   At least 19,177 civilians and officials have been killed so far and 47,869 have been injured in the18,850 terror related attacks in Pakistan since 2001, the officials stated. The attacks, they said, mostly targeted Law Enforcement Agencies (LEAs) and were carried out through different methods that included bomb explosions, hand grenade attacks, mine explosions, missiles, rockets, and suicide attacks. Terrorists also targeted minorities geared to instigate sectarian violence and employed sophisticated methods, including the usage of Improvised Explosive Devices (IED) — vehicle explosive devices as well as radio controlled improvised devices.  During the current year — 2018 — 405 terrorist attacks have taken place in the country, in which 133 officials and 233 civilians have been killed and 348 personnel and 567 civilians have been injured.  In Punjab, 14 incidents of bomb blasts, suicide attacks and engagements with terrorists led to the deaths of six LEA officials and as many civilians during the year. Four officials and 52 civilians have so far been injured.  Sindh has seen 11 incidents of terror related attacks, which included strikes on LEAs, through bomb explosions, hand grenade attacks and general aggressive engagement with terrorists. The province has also had to contend with suicide attacks and IED explosions. Two LEA officials and as many civilians lost their lives and eight officials as well as six civilians have been injured.  There were 51 incidents targeting LEAs in Khyber Pakhtunkhwa during the year. 21 personnel and 11 civilians have been killed and 55 officials and 57 civilians have been injured in these attacks.  In Baluchistan, 172 incidents were recorded — mostly targeting LEAs. Ranging from bomb explosions, to suicide attacks, and involving sectarian violence. The officials stated that 58 personnel and 193 civilians have lost their lives in the current year. 166 officials and 396 have been injured as well.  In Fata, during the current year, there have been a total 150 incidents involving LEAs in the tribal districts. According to the officials, 42 personnel and 21 civilians have been killed, with another 110 and 52 injured.  Gilgit-Baltistan has also seen an unfortunate six incidents during the year, with officials reporting that four personnel lost their lives. Four LEA officials and as many civilians were injured. Only one incident of a mine explosion was recorded in Azad Kashmir during the year. One official was injured.  Fortunately, Islamabad, the capital of the country has remained safe the entire year.  Published in Dawn, November 9th, 2018 ",False,2018-11-09 00:00:00+00:00,2019-03-23 02:53:35.847686+00:00,5685,True,3,"Thousands killed in drone strikes, terror attacks since 2004",https://www.dawn.com/news/1444488/thousands-killed-in-drone-strikes-terror-attacks-since-2004
40973,STRIKE,"A key member of the Haqqani terrorist network was killed in a drone strike in southeastern Paktika province of Afghanistan. According to the provincial government media office, the airstrike was carried out late on Tuesday night in Sarwaza district. The key Haqqani network member killed in the raid has been identified as Sirajuddin Khademi who was reportedly providing logistics support to the fighters of the terror network. The airstrike also destroyed some weapons belonging to the terror network but local civilians casualties were reported in the raid. The anti-government armed militant groups have not commented regarding the report so far. Haqqani network was formed in the late 1970s by Jalaluddin Haqqani. The group is allied with al-Qaida and the Afghan Taliban and cooperates with other terrorist organizations in the region. The network is accused of staging numerous cross-border attacks from their base in North Waziristan, including the 19-hour siege at the US Embassy in Kabul in September 2011.   Post Views:  238",True,2016-06-09 08:46:00+00:00,2019-03-25 06:55:06.799063+00:00,40974,True,4,Key Haqqani network member killed in a drone strike in Paktika,https://www.khaama.com/key-haqqani-network-member-killed-in-a-drone-strike-in-paktika-01208/
33016,NOT_STRIKE,"BEIJING: China’s ruling Communist Party on Sunday set the stage for President Xi Jinping to stay in office indefinitely, with a proposal to remove a constitutional clause limiting presidential service to just two terms in office. Since taking office more than five years ago, Xi has overseen a radical shake-up of the party, including taking down top leaders once thought untouchable as part of his popular war on deep-rooted corruption. Sunday’s announcement, carried by state news agency Xinhua, gave few details. It said the proposal had been made by the party’s Central Committee, the largest of its elite ruling bodies. The proposal also covers the vice president position.  Radical shake-up has taken place in Communist Party during Xi’s presidential term as part of his war on corruption  Xi, 64, is currently required by China’s constitution to step down as president after two five-year terms. Nearing the end of his first term, he will be formally elected to a second at the annual meeting of China’s parliament opening on March 5. There is no limit on his tenure as the party and military chief, though a maximum 10-year term is the norm. He began his second term as head of the party and military in October at the end of a party congress held once every five years. Zhang Lifan, a historian and political commentator, said the news was not unexpected, and it was hard to predict exactly how long Xi could stay on in power. “In theory he could serve longer than Mugabe but in reality, no one is sure exactly what will happen,” Zhang said, referring to Zimbabwe’s former president whose four decades in office ended in November, after the army and his former political allies moved to force him out. Though positive remarks filled the comments section under the pages of main state media outlets like the People’s Daily, the move was not welcomed by everyone on China’s Twitter-like Weibo service. “If two terms are not enough, then they can write in a third term, but there needs to be a limit. Getting rid of it is not good!,” wrote one Weibo user. ‘Emperor Xi’ Constitutional reform needs to be approved by parliament, which is stacked with members chosen for their loyalty to the party — meaning the reform will not be blocked. There has been persistent speculation that Xi wants to stay on in office past the customary two five-year terms. The October party congress ended without appointing a clear eventual successor for Xi. However, the role of party chief is more senior than that of president. At some point, Xi could be given a party position that also enables him to stay on as long as he likes. Xi is currently the party’s general secretary, but not chairman. China’s first three leaders after the founding of the People’s Republic in 1949 all carried the title of party chairman — Mao Zedong, Hua Guofeng and then Hu Yaobang. It has not been used since. “Whether Xi ends up being party chairman or just remains party secretary doesn’t really matter. What matters is whether he holds onto power,” said Zhang Ming, a professor of political science at Renmin University of China in Beijing. “Titles don’t matter as much in China as they do in the West. Here what matters is whether you are the emperor,” he added. “In China, ordinary people already consider Xi Jinping to be the emperor.” Eyes on VP Mao, the founder of Communist China and still held in god-like awe by many Chinese, died while still Communist Party chairman in 1976, having never retired. State media has also increasingly been using the term “lingxiu” to refer to Xi, which means “leader”. Distinct from the standard usage of “lingdao” for leader, “lingxiu” evokes grander, almost spiritual, connotations. Mao, for example, was referred to as “lingxiu”, but Xi’s two immediate predecessors, Hu Jintao and Jiang Zemin, were not. In a Sunday commentary on its WeChat account, state television said: “The people love the people’s ‘lingxiu’!”, above a picture of Xi being greeted by an adoring crowd in Sichuan province earlier this month. The move to lift the presidential term limits is not unexpected. The party has been laying the groundwork for Xi not to have to go. One of Xi’s closest political allies, former top graft buster Wang Qishan, stepped down from the party’s standing committee -- the seven-man body that runs China — in October. Aged 69, Wang had reached the age at which top officials tend to retire. But he has been chosen as a parliament delegate this year and is likely to become vice president, sources with ties to the leadership and diplomats say. The move is significant because if Wang does not retire, that would set a precedent for Xi to stay on in power too after he reaches what is normally considered retirement age. Published in Dawn, February 26th, 2018 ",False,2018-02-26 00:00:00+00:00,2019-03-24 11:38:56.754559+00:00,33017,True,3,China’s ruling party sets stage for Xi’s indefinite stay in office,https://www.dawn.com/news/1391794/chinas-ruling-party-sets-stage-for-xis-indefinite-stay-in-office
525,NOT_STRIKE,"(Reuters) - Yemen’s warring parties have failed to leave the main port city of Hodeidah three months after agreeing to a breakthrough U.N.-led truce deal as part of efforts to end a four-year-old war that has pushed the country to the brink of famine. FILE PHOTO: Houthi militants ride on the back of a truck as they withdraw, part of a U.N.-sponsored peace agreement signed in Sweden earlier this month, from the Red Sea city of Hodeidah, Yemen December 29, 2018. REUTERS/Abduljabbar Zeyad The following is a timeline of the impoverished Arabian Peninsula country’s slide into violence and how the conflict has developed. * 1990. Unification of north and south Yemen to form a single state under president Ali Abdullah Saleh. * 1994. Civil war in which Saleh prevents south, angered by what it sees as its lower status, from splitting with north. * 2003-09. Houthi group in north protests marginalisation of the local Zaydi Shi’ite Muslim sect and fights six wars with Saleh’s forces and one with Saudi Arabia. * 2011. Arab Spring protests undermine Saleh’s rule, lead to splits in the army and allow al Qaeda in the Arabian Peninsula (AQAP) to seize swathes of territory in the east. * 2012. Saleh steps down in a political transition plan backed by Gulf states. Abd-Rabbu Mansour Hadi becomes interim president and oversees a “national dialogue” to draft a more inclusive, federal constitution. * 2013. AQAP survives military onslaught and drone strikes, staging attacks across the country while retaining a persistent presence. Saleh and his allies undermine the political transition. * 2014. The Houthis rapidly advance south from Saadeh and seize Sanaa on September 21 with help from Saleh. They demand a share in power. * 2015. Hadi tries to announce a new federal constitution opposed by the Iran-aligned Houthis and Saleh, who arrest him. He escapes, pursued by the Houthis, triggering Saudi intervention in March along with a hastily assembled Arab military coalition. Months later the coalition, aiming to restore Hadi’s ousted government, drives the Houthis and Saleh loyalists from Aden in south Yemen and Marib, northeast of Sanaa, but the front lines solidify, setting up years of stalemate. * 2016. AQAP takes advantage of the chaos to establish a mini-state around Mukalla in east Yemen, raising fears the war will lead to a new surge in jihadist activity. The UAE backs local forces in a battle that ends the group’s rule there. Hunger grows as the coalition imposes a partial blockade on Yemen, accusing Iran of smuggling missiles to the Houthis through Hodeidah alongside food imports, something it denies. Coalition air strikes that kill civilians prompt warnings from rights groups, but Western support for the military campaign continues. * 2017. The Houthis launch a growing number of missiles deep into Saudi Arabia, including at Riyadh. Seeing a chance to regain power for his family by reneging on his Houthi allies, Saleh switches sides, but is killed trying to escape them. Friction also develops between fighters in Aden backed by Saudi Arabia, and those backed by its Emirati coalition partners. * 2018. Coalition-backed forces, including some flying the southern separatist flag, advance up the Red Sea coast against the Houthis, aiming to take the port of Hodeidah. Hodeidah handles the bulk of Yemen’s commercial and aid imports and is critical for feeding the population of 30 million. Military stalemate ensues: the Houthis control the port and coalition-backed Yemeni forces mass on the outskirts. In the first major breakthrough in peace efforts, the warring parties agree at December talks in Sweden, the first in two years, on a ceasefire and troop withdrawal from Hodeidah. Work on a prisoner swap also begins. *2019. The Stockholm Hodeidah truce largely holds but the withdrawal has yet to materialise amid deep mistrust between the Houthi movement, which controls Hodeidah, and the Saudi-led coalition massed on its outskirts. Violence continues in parts of Yemen outside Hodeidah. For a picture essay on hunger in Yemen, click on reut.rs/2Y7lBtz  Compiled by Angus McDowall and Lisa Barrington; Editing by William Maclean Our Standards: The Thomson Reuters Trust Principles.",False,2019-03-21 00:00:00+00:00,2019-03-22 23:51:00.303925+00:00,526,True,2,Timeline: Yemen's slide into political crisis and war,https://uk.reuters.com/article/uk-yemen-security-timeline/timeline-yemens-slide-into-political-crisis-and-war-idUKKCN1R20HE
1658,NOT_STRIKE," GENEVA — People smugglers are taking greater risks to ferry their human cargo toward Europe as Libya’s coast guard intercepts more and more boats carrying migrants, increasing the likelihood that those on board may die during the Mediterranean journeys, the U.N. refugee agency said Monday.  That’s one of the key findings from a new UNHCR report about efforts to reach Europe. The report, titled “ Desperate Journeys ,” said that even though the number of crossings and deaths has plunged compared to recent years, the voyage is more deadly in percentage terms for those who venture across.  It said that 2,276 people died last year while trying to cross, or one death for every 42 arrivals.  This year, it’s 1,095 deaths, or one out of every 18 arrivals. In June alone, the proportion hit one death for every seven arrivals.  On the Central Mediterranean route so far this year, there have been 10 separate incidents in which 50 or more people died — most after departing from Libya. Seven of those incidents have been since June alone, UNHCR said.      “The reason the traffic has become more deadly is that the traffickers are taking more risk, because there is more surveillance exercised by the Libyan coast guards.”   “The reason the traffic has become more deadly is that the traffickers are taking more risk, because there is more surveillance exercised by the Libyan coast guards,” said Vincent Cochetel, UNHCR’s special envoy for the central Mediterranean. “They are trying to cut the costs: It costs them more to keep those people here longer in their warehouses, under captivity.”  Libyan authorities intercepted or rescued 18,400 people between August last year and July this year — a 38-percent increase from the same period of 2016 and 2017. Arrivals by sea from Libya to Europe plummeted 82 percent in those comparable periods, to 30,800 in the more recent one.  UNHCR says a growing worry these days is deaths on land by people trying to get to Libya in the first place, or getting stuck in squalid, overcrowded detention centers: Many get returned there after failing to cross by sea to Europe.  “The problems after disembarkation (is that) those people are sent back to detention centers, and many disappear,” Cochetel said. “Many are sold to militias, and to traffickers, and people employing them without paying them.”  He said the drop in departures means that traffickers attempt to “monetize their investment, which means they have to exploit more people. That results in more cases of slavery, forced labor, prostitution of those people — because they (smugglers) want to make money on those people.”      “The problems after disembarkation (is that) those people are sent back to detention centers, and many disappear.”   Would-be workers and migrants are still pouring into Libya: Some are fleeing injustice, abuse or autocrats in their home countries further south in Africa. Others are looking for work in the oil industry or agriculture.  “I think you have more deaths on land,” Cochetel said, referring to treks across the desert in Sudan, Algeria, Chad and Niger. “Many people in Libya are reporting having seeing people dead in the desert on the way to Libya.”  In Libya, instability continues even seven years after the fall of Moammar Gadhafi. French medical aid group Doctors Without Borders said Friday that fighting between rival militias in Tripoli, the capital, has endangered the lives of people trapped there and worsened humanitarian needs — especially at migrant detention centers.  Cochetel said Europe — where some countries have shown “appalling” squabbles about who would take in rescue ships carrying migrants — should look at the root causes of such journeys. European populations need to shun anti-migrant rhetoric and realize that figures are down sharply, and migrant flows are clearly manageable at current levels, he said.  “Europe has to show the lead, has to be exemplary in its response, but it’s quite clear that it’s already too late when the people are in Libya,” he said. “We need to work downstream in country of first asylum, in country of origin, and that takes time.” ",False,2018-09-03 14:27:00+00:00,2019-03-23 00:29:58.731442+00:00,1659,True,1,"UN agency: Trips across Mediterranean fall, but risks rise",https://www.pbs.org/newshour/world/un-agency-trips-across-mediterranean-fall-but-risks-rise
20832,NOT_STRIKE," At least four people have died in the storm, which has ravaged coastal areas from Colombia to the Dutch island of St. Maarten.  As of Thursday afternoon, the storm was stalled 35 miles west-southwest of St. Maartin and is forecasted to move slowly to the east-northeast. Lenny is currently classified as a Category Four storm, capable of causing extensive damage and a 13 to 18 foot storm surge.  Earlier Thursday morning, the storm forced a Russian freighter carrying cement to run aground near 17th-century El Morro fortress in San Juan, Puerto Rico.  Although forecasters predict Lenny will not strike the U.S., meteorologist Stacy Stewart at the National Hurricane Center in Miami said the Florida coast could still feel the hurricane’s effects.  “The influence of this storm is going to be felt considerable distances away,” Stewart said  Lenny, the fifth major hurricane of the season, began to batter the Caribbean Wednesday, causing some of its worst damage on the island of St. Croix in the U.S. Virgin Islands.  “There’s extensive damage to the waterfront,” St. Croix resident Herb Shoenbaum told Reuters. “About 20 roofs off to the west of the island. Power and telephone lines down in a few places.”  When St. Croix sustained a direct hit from the storm Wednesday night, Lenny’s wind speeds had increased to 150 mph — just 5 mph short of Category Five strength.  The storm cut power and telephone service to many homes, uprooted trees and caused damage to structures. The U.S. Federal Emergency Management Agency said it would send damage assessors to the Virgin Islands Thursday. Medical teams were sent to the islands before the storm hit.  Of the four deaths attributed to the storm, two died in Colombia, one in St. Maartin and one in Puerto Rico. ",False,1999-11-16 21:15:00+00:00,2019-03-23 19:14:42.201302+00:00,20833,True,1,Hurricane Lenny Pounds Caribbean,https://www.pbs.org/newshour/world/weather-july-dec99-lenny_update_11-18
1622,NOT_STRIKE,"A Houthi security officer rides a motorbike during a funeral of people killed by an air strike last week in the northwestern province of Hajja, in Sanaa, Yemen March 14, 2019. REUTERS/Mohamed al-Sayaghi ADEN (Reuters) - Yemen’s Houthi group said they were building their ballistic capabilities and their forces stand ready to strike Riyadh and Abu Dhabi if implementation of a U.N. peace deal in the port city of Hodeidah is breached. A spokesman of the Houthi forces said the group has a “stockpile of missiles” and the group can hit Saudi Arabia and the United Arab Emirates (UAE), the two Gulf states leading the coalition backing the government of Abd-Rabbu Mansour Hadi, whenever the military command decides on the timing. “We have intelligence asserting that the enemy is preparing for an escalation in Hodeidah and we are following their movements closely. Our forces stand ready for any requested and adequate measure,” colonel Yahya Sarea, a spokesman of the Houthi forces, was quoted as saying by the group-controlled state news agency SABA late on Saturday. Sarea said the nature of the conflict, which is widely seen as a proxy war between Saudi Arabia and its regional rival Iran, has made ballistic missiles and drones a “strategic choice” and the only response to the Saudi-led coalition air strikes. The Saudi-led coalition accuses the Houthis of breaching an agreement signed in Stockholm last December, after they failed to withdraw from the port of Hodeidah, the first step of the peace plan. The Houthis say they want more guarantees from the U.N. that the other side will not exploit their withdrawal. The two sides have agreed on a ceasefire and troop withdrawal in Hodeidah, an exchange of prisoners, and the reopening of humanitarian corridors to help millions of starving Yemenis, with international monitors to oversee things. The ceasefire in Hodeidah has largely held but violence escalated elsewhere. Last week, air strikes on a village in the northern Hajjah province killed 10 women and 12 children and wounded 30 people. [nL8N20Y5RM] Tens of thousands of people have been killed in the conflict since the Sunni Muslim alliance intervened in the war in March 2015 in support of Hadi after his government was driven out of Sanaa by Houthi forces in late 2014. Reporting By Mohamed Ghobari, writing by Aziz El Yaakoubi; Editing by Toby Chopra Our Standards: The Thomson Reuters Trust Principles.",False,2019-03-17 00:00:00+00:00,2019-03-23 00:28:38.264857+00:00,1623,True,2,"Yemen's Houthis say ready to strike Riyadh, Abu Dhabi if coalition moves on Hodeidah",https://uk.reuters.com/article/uk-yemen-security/yemens-houthis-say-ready-to-strike-riyadh-abu-dhabi-if-coalition-moves-on-hodeidah-idUKKCN1QY0JK
1137,NOT_STRIKE," GAZA CITY, Gaza Strip — Hamas and other militant groups said Tuesday they had accepted an Egyptian-brokered cease-fire to end two days of intense fighting with Israel that had pushed the sworn enemies to the brink of a new war.  The sudden announcement brought relief to a region that had been paralyzed by hundreds of Palestinian rocket attacks in southern Israel and scores of Israeli airstrikes on targets in the Gaza Strip. But it did not address the deeper issues that pushed Israel and Gaza’s Hamas rulers toward their latest violence and left doubts about international efforts to forge a broader truce agreement.  Those efforts had appeared to be making progress in recent days as Israel allowed Qatar to deliver financial aid to the cash-strapped Hamas government, and Prime Minister Benjamin Netanyahu declared that he wanted to avert an “unnecessary” war in Gaza. Hamas, in turn, had scaled back its mass protests that have led to weekly bloodshed along the Israeli border.      Tuesday’s cease-fire did not appear to address any of the underlying issues, including the blockade and Hamas’ vast arsenal of rockets, and it was unclear whether U.N. and Egyptian efforts toward a broader deal might resume.   But hours after Netanyahu spoke Sunday, an Israeli commando unit on an undercover mission was caught behind enemy lines in Gaza by Hamas militants. Their discovery set off a battle that led to the deaths of seven militants and an Israeli officer, and triggered the heaviest barrage of rocket fire since a 2014 war.  The Israeli military said that Palestinian militants fired 460 rockets and mortars into Israel in a 24-hour period, while it carried out airstrikes on 160 targets in Gaza. Seven Palestinians, including five militants, were killed, and 26 people were wounded. In Israel, a 48-year-old Palestinian laborer was killed in a rocket strike on an apartment building where he was staying. Nearly 30 people were wounded, three critically.  With air raid sirens wailing throughout southern Israel and the explosions of airstrikes thundering in Gaza, the sides had appeared to be headed to what would have been their fourth war in a decade.  But late Tuesday, Hamas and other military groups issued a joint statement saying they had accepted an Egyptian cease-fire.  Terms of the deal appeared to be modest. Daoud Shehab, a spokesman for the Islamic Jihad militant group, said each side would promise quiet in exchange for quiet.  “It’s a mutual commitment to the cease-fire,” he said. “From our side, we responded positively to the Egyptian endeavor on the condition that the occupation does the same.”  The announcement set off celebrations in Gaza City as Hamas supporters declared victory.  At a demonstration staged in the rubble of Hamas’ TV station, demolished by an Israeli airstrike, crowds chanted the name of Hamas’ military wing. Shops reopened and cars jammed the streets. Israeli reconnaissance drones continued to buzz overhead.  Ismail Radwan, a Hamas official, expressed Hamas’ commitment to the cease-fire but warned that “our hands are on the trigger” if Israel violates the agreement.  In Israel, officials had no comment on the cease-fire claim even as dozens of protesters in the rocket-battered town of Sderot chanted “Disgrace!” at what they saw as the government’s capitulation to militant violence. But after nightfall, both the rocket attacks and Israeli airstrikes had stopped.  KHAN YUNIS, GAZA – NOVEMBER 12: Funeral ceremony for seven Palestinians, including a military commander of Ezzedine al-Qassam Brigades, the armed wing of Hamas movement, held after they were killed in Israeli attack in Khan Yunis, Gaza on November 12, 2018. (Photo by Mustafa Hassona/Anadolu Agency/Getty Images)  The announcement came shortly after Netanyahu’s Security Cabinet ended a seven-hour discussion on the rising tensions in Gaza.  The Cabinet said it had ordered the military to “continue operations as needed.” Israel’s Channel 10 TV reported deep divisions among the participants, with several hard-line ministers reportedly opposed to another cease-fire with Hamas.  Hamas, an Islamic militant group that opposes Israel’s existence, seized control of the Gaza Strip from the internationally recognized Palestinian Authority in 2007.  Israel and Egypt immediately imposed a blockade on Gaza to contain Hamas. The blockade has ravaged Gaza’s economy, and Israel refuses to lift it unless Hamas disarms, a demand the militants reject.  The standoff has produced repeated rounds of violence, including indiscriminate Gaza rocket fire at Israeli towns and cities and punishing Israeli military offensives, but Hamas remains firmly in control. Netanyahu’s apparent reluctance to launch a full-scale war reflected the lack of good choices at his disposal.  Israel Ziv, a retired general who once commanded the Israeli military’s Gaza division, said Netanyahu was running out of options for dealing with Hamas.  “Either we come to a settlement or there’s an all-out campaign. Nothing in the middle is going to make a difference,” he said.  Tuesday’s cease-fire did not appear to address any of the underlying issues, including the blockade and Hamas’ vast arsenal of rockets, and it was unclear whether U.N. and Egyptian efforts toward a broader deal might resume.      Netanyahu’s apparent reluctance to launch a full-scale war reflected the lack of good choices at his disposal.   U.N. and Egyptian mediators had been making progress in recent weeks toward informal understandings between Israel and Hamas that would ease the blockade in exchange for ratcheting down the border protests.  Demonstrators each week approach the border fence, throwing firebombs, grenades and burning tires at Israeli troops. Israeli snipers have killed about 170 people, most of them unarmed. Israel says it is defending its border against attackers, but it has come under heavy international criticism for shooting unarmed people.  In recent days, Israel allowed fuel shipments to increase the power supply in Gaza, which suffers from frequent blackouts, and agreed to additional Qatari assistance to allow Hamas to pay the salaries of its thousands of unpaid workers.  A diplomatic official said the cease-fire included an “understanding” to return to a 2014 cease-fire that promised some relief for Gaza in exchange for quiet.  The official said he expected a return to the situation before the latest burst of violence and for mediators to resume their efforts. He spoke on condition of anonymity because he was not authorized to discuss the matter with the media.  Palestinian U.N. Ambassador Riyad Mansour told reporters at U.N. headquarters that “we are grateful for the Egyptians who are mediating.”  The U.N. Security Council scheduled closed consultations on the Hamas-Israel clashes later Tuesday at the request of Kuwait and Bolivia, U.N. diplomats said.  Federman reported from Jerusalem. Associated Press correspondent Isabel DeBre in Jerusalem and Edith M. Lederer at the United Nations contributed. ",False,2018-11-13 20:27:00+00:00,2019-03-23 00:12:15.318218+00:00,1138,True,1,"Israel and Hamas accept cease-fire, but deeper issues remain",https://www.pbs.org/newshour/world/israel-and-hamas-accept-cease-fire-but-deeper-issues-remain
